X,Y,fid,ENUMBER,BOROCODE,TAXBLOCK,TAXLOT,CEQR_NUM,ULURP_NUM,ZONING_MAP,DESCRIPTIO,BBL,x,y
988639.53002987,202911.413052929,450,E-216,1,"399","11","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,990,011",988639.530,202911.413
988661.361600427,202858.842443739,461,E-216,1,"399","51","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,990,051",988661.362,202858.842
1009496.60581793,204464.976328529,8052,E-553,4,"2,657","50",19DCP219Q,C200031ZSQ,,Hazardous Materials* Phase I and Phase II Testing Protocol,"4,026,570,050",1009496.606,204464.976
1009602.09499785,204992.293356602,10090,E-755,4,"2,656","64",24DCP014Q,C230276ZMQ,,Hazardous Materials* Phase I and Phase II Testing Protocol,"4,026,560,064",1009602.095,204992.293
990624.128835347,210681.155641843,1075,E-62,1,"914","36",95DCP027M,C940304ZMM,,Window Wall Attenuation & Alternate Ventilation,"1,009,140,036",990624.129,210681.156
989422.748725016,210757.008792277,1054,R-105,1,"887","84","06DCP079M","060372ZMM",,,"1,008,870,084",989422.749,210757.009
989422.748725016,210757.008792277,1053,E-195,1,"887","84","06DCP079M",C060372ZMM,,Window Wall Attenuation & Alternate Ventilation,"1,008,870,084",989422.749,210757.009
990816.148195985,210798.768401198,1076,E-62,1,"915","23",95DCP027M,C940304ZMM,,Window Wall Attenuation & Alternate Ventilation,"1,009,150,023",990816.148,210798.768
990670.275533713,210879.763851556,1606,E-62,1,"915","7,501",95DCP027M,C940304ZMM,,Window Wall Attenuation & Alternate Ventilation,"1,009,157,501",990670.276,210879.764
988631.392627746,203985.291180789,409,E-216,1,"435","42","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,004,350,042",988631.393,203985.291
988660.775160231,203704.703233709,587,E-216,1,"434","34","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Window Wall Attenuation & Alternate Ventilation","1,004,340,034",988660.775,203704.703
988783.288793508,204869.0023422,419,E-216,1,"438","10","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,380,010",988783.289,204869.002
988797.202810407,204573.755840534,255,E-216,1,"437","15","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,004,370,015",988797.203,204573.756
988800.228155956,205413.312247423,337,E-216,1,"454","40","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,540,040",988800.228,205413.312
988804.756148437,204857.052433218,420,E-216,1,"438","11","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,380,011",988804.756,204857.052
988810.01178851,205430.960861703,336,E-216,1,"454","39","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,540,039",988810.012,205430.961
988949.232878007,204381.935773796,256,E-216,1,"437","33","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water,"1,004,370,033",988949.233,204381.936
989065.428147052,204447.749430942,418,E-216,1,"437","25","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,370,025",989065.428,204447.749
989112.089605108,204685.973549898,421,E-216,1,"438","25","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,004,380,025",989112.090,204685.974
989216.907161035,205089.25275732,428,E-216,1,"440","44","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,400,044",989216.907,205089.253
989246.066615494,204839.16178694,260,E-216,1,"439","7,501","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,397,501",989246.067,204839.162
989282.23786093,204487.705597916,512,E-216,1,"404","58","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,040,058",989282.238,204487.706
989324.455158358,204464.539131584,507,E-216,1,"404","56","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,040,056",989324.455,204464.539
989390.736870012,204428.687154383,506,E-216,1,"404","53","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,040,053",989390.737,204428.687
989413.450340828,204418.20111686,505,E-216,1,"404","52","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,004,040,052",989413.450,204418.201
989439.581853577,204513.837073302,176,E-216,1,"404","9","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,004,040,009",989439.582,204513.837
989444.839914955,205119.358709298,427,E-216,1,"440","32","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,400,032",989444.840,205119.359
989480.586746057,204488.759684626,177,E-216,1,"404","11","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,004,040,011",989480.587,204488.760
989496.055749724,204361.177463718,501,E-216,1,"404","48","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,004,040,048",989496.056,204361.177
989517.403865478,204349.330334111,500,E-216,1,"404","47","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Window Wall Attenuation & Alternate Ventilation","1,004,040,047",989517.404,204349.330
989539.299070062,204337.178587449,499,E-216,1,"404","46","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Window Wall Attenuation & Alternate Ventilation","1,004,040,046",989539.299,204337.179
988649.081893843,203683.487252871,588,E-216,1,"434","35","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,340,035",988649.082,203683.487
988792.689281478,203940.307335753,594,E-216,1,"435","34","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,350,034",988792.689,203940.307
988780.720658576,203918.55789153,595,E-216,1,"435","35","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,350,035",988780.721,203918.558
988830.814403174,204272.693917662,597,E-216,1,"436","25","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,004,360,025",988830.814,204272.694
988751.368681102,204490.829907603,602,E-216,1,"437","43","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,004,370,043",988751.369,204490.830
988736.429523392,204910.904046204,621,E-216,1,"438","8","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,380,008",988736.430,204910.904
988826.231519493,204845.097312884,622,E-216,1,"438","12","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,380,012",988826.232,204845.097
988961.766195205,205327.999999992,636,E-216,1,"440","6","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,400,006",988961.766,205328.000
989298.45973578,205186.191829366,637,E-216,1,"440","26","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,004,400,026",989298.460,205186.192
989361.961355297,205151.086944369,638,E-216,1,"440","29","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,004,400,029",989361.961,205151.087
989397.447738229,208031.090111345,1056,E-8,1,"903","31",85-243M,C870362ZMM,,"Air Quality - Natural Gas Heat & Hot Water;Double Glazed Windows & Alternate Ventilation","1,009,030,031",989397.448,208031.090
989406.918890877,208047.614678669,1057,E-8,1,"903","32",85-243M,C870362ZMM,,"Air Quality - Natural Gas Heat & Hot Water;Double Glazed Windows & Alternate Ventilation","1,009,030,032",989406.919,208047.615
989431.380242824,208092.307623139,1058,E-8,1,"903","35",85-243M,C870362ZMM,,"Air Quality - Natural Gas Heat & Hot Water;Double Glazed Windows & Alternate Ventilation","1,009,030,035",989431.380,208092.308
989371.978015255,208091.282361665,1059,E-8,1,"903","36",85-243M,C870362ZMM,,"Air Quality - Natural Gas Heat & Hot Water;Double Glazed Windows & Alternate Ventilation","1,009,030,036",989371.978,208091.282
989415.995325109,208064.628725348,1088,E-8,1,"903","33",85-243M,C870362ZMM,,"Air Quality - Natural Gas Heat & Hot Water;Double Glazed Windows & Alternate Ventilation","1,009,030,033",989415.995,208064.629
989091.680239711,205956.891043334,1626,E-68,1,"921","36",95DCP053M,C950443ZMM,,Window Wall Attenuation & Alternate Ventilation,"1,009,210,036",989091.680,205956.891
989112.891527504,201314.78209235,158,E-216,1,"344","60","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,440,060",989112.892,201314.782
989123.408114282,201367.894631519,153,E-216,1,"344","56","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,440,056",989123.408,201367.895
989046.142385916,201398.056434496,151,E-216,1,"344","53","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,440,053",989046.142,201398.056
989093.872060091,201399.248502974,152,E-216,1,"344","54","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,440,054",989093.872,201399.249
989007.399333759,201670.410340141,168,E-216,1,"345","26","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,450,026",989007.399,201670.410
988903.488031077,201684.963411917,161,E-216,1,"345","2","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,450,002",988903.488,201684.963
990111.104917133,201721.487256537,201,E-216,1,"372","41","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,720,041",990111.105,201721.487
988939.823712635,201777.540922323,162,E-216,1,"345","6","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,450,006",988939.824,201777.541
988953.45719771,201812.279075868,163,E-216,1,"345","7","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,450,007",988953.457,201812.279
989075.168153823,201872.24708944,167,E-216,1,"345","17","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,450,017",989075.168,201872.247
988897.586069901,201969.372444995,181,E-216,1,"350","62","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,500,062",988897.586,201969.372
989129.043774621,202088.238354893,250,E-216,1,"384","21","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,840,021",989129.044,202088.238
990251.563280476,202230.430392026,203,E-216,1,"374","47","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,740,047",990251.563,202230.430
990437.044597633,202273.131494332,154,E-216,1,"374","34","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,740,034",990437.045,202273.131
990358.409369838,202283.232836916,202,E-216,1,"374","31","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,740,031",990358.409,202283.233
988960.36723316,202407.085284501,251,E-216,1,"385","4","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,850,004",988960.367,202407.085
988892.459566775,202563.53352211,166,E-216,1,"398","29","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,980,029",988892.460,202563.534
989065.265810496,202574.189696079,156,E-216,1,"386","1","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,860,001",989065.266,202574.190
989579.646492944,202009.150016594,281,E-216,1,"372","3","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,720,003",989579.646,202009.150
989600.093212057,202019.239824227,282,E-216,1,"372","4","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,720,004",989600.093,202019.240
989609.551286815,202036.335895157,283,E-216,1,"372","5","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,720,005",989609.551,202036.336
990060.223529038,201867.956449068,284,E-216,1,"372","30","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,720,030",990060.224,201867.956
990092.061822394,201845.698154255,285,E-216,1,"372","31","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,720,031",990092.062,201845.698
990127.733131707,201848.054815936,286,E-216,1,"372","33","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - HVAC fuel limited to natural gas;Hazardous Materials* Phase I and Phase II Testing Protocol","1,003,720,033",990127.733,201848.055
990155.573664397,201836.671545565,287,E-216,1,"372","34","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,720,034",990155.574,201836.672
990211.274806349,201837.26121861,288,E-216,1,"372","36","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,720,036",990211.275,201837.261
990203.286539367,201822.834507921,302,E-216,1,"372","37","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,720,037",990203.287,201822.835
989781.505532616,202305.626905301,303,E-216,1,"373","2","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,730,002",989781.506,202305.627
989929.067697637,202235.329580826,304,E-216,1,"373","13","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,730,013",989929.068,202235.330
989947.92537133,202224.871640989,305,E-216,1,"373","14","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,730,014",989947.925,202224.872
989988.164443571,202202.556636017,306,E-216,1,"373","16","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,730,016",989988.164,202202.557
990008.141470033,202191.477604646,307,E-216,1,"373","17","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,730,017",990008.141,202191.478
988617.550034426,202358.570622784,316,E-216,1,"397","27","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,970,027",988617.550,202358.571
988668.478205253,202516.270638343,317,E-216,1,"398","45","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,980,045",988668.478,202516.271
990262.415773637,201971.001509622,319,E-216,1,"373","38","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,730,038",990262.416,201971.002
989871.277493602,202154.405926833,320,E-216,1,"373","61","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,730,061",989871.277,202154.406
989852.511900794,202164.807235138,321,E-216,1,"373","62","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,730,062",989852.512,202164.807
989833.625393763,202175.200648729,322,E-216,1,"373","63","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,730,063",989833.625,202175.201
990394.97935422,202196.980323297,329,E-216,1,"374","37","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,740,037",990394.979,202196.980
990377.985845864,202565.723697854,334,E-216,1,"375","29","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,750,029",990377.986,202565.724
990436.155507813,202533.312855504,335,E-216,1,"375","32","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,750,032",990436.156,202533.313
990507.243177552,202403.029188561,338,E-216,1,"375","41","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,750,041",990507.243,202403.029
989385.821095083,201964.46601407,365,E-216,1,"384","33","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,840,033",989385.821,201964.466
989385.821095083,201964.46601407,366,E-359,1,"384","33",14BSA169M,125-14BZ,,Hazardous Materials* Phase I and Phase II Testing Protocol,"1,003,840,033",989385.821,201964.466
989320.010128984,202279.63605595,367,E-216,1,"385","24","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,850,024",989320.010,202279.636
989452.965976225,202209.072583924,368,E-216,1,"385","30","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,850,030",989452.966,202209.073
989211.932990463,202520.94373875,388,E-216,1,"386","61","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water,"1,003,860,061",989211.933,202520.944
989191.503702083,202530.759612854,389,E-216,1,"386","62","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,860,062",989191.504,202530.760
989746.99580685,202596.041594669,390,E-216,1,"387","35","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,870,035",989746.996,202596.042
989637.46479232,202574.329079327,391,E-216,1,"387","42","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water,"1,003,870,042",989637.465,202574.329
989776.547626545,202649.673241391,164,E-216,1,"387","33","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,870,033",989776.548,202649.673
989106.335132425,202657.547220944,157,E-216,1,"386","5","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,860,005",989106.335,202657.547
990519.338503083,202660.458856293,214,E-216,1,"376","43","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,760,043",990519.339,202660.459
990699.792520035,202704.301611615,213,E-216,1,"376","32","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,760,032",990699.793,202704.302
990419.494915427,202715.791378258,215,E-216,1,"376","44","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations","1,003,760,044",990419.495,202715.791
990529.411311363,202761.270551555,212,E-216,1,"376","27","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water,"1,003,760,027",990529.411,202761.271
990509.599456914,202772.251864449,211,E-216,1,"376","26","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,760,026",990509.599,202772.252
990468.832742092,202794.847651524,210,E-216,1,"376","24","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - HVAC fuel limited to natural gas;Hazardous Materials* Phase I and Phase II Testing Protocol","1,003,760,024",990468.833,202794.848
990448.716147241,202805.997488041,209,E-216,1,"376","23","07DCP078M","C080397AZMM; N080398AZRM",,Hazardous Materials* Phase I and Phase II Testing Protocol,"1,003,760,023",990448.716,202805.997
990409.683387175,202827.632483806,208,E-216,1,"376","21","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,760,021",990409.683,202827.632
990663.389721833,202861.264675047,155,E-216,1,"377","7,504","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,777,504",990663.390,202861.265
990116.539819142,202870.949294414,216,E-216,1,"376","63","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,003,760,063",990116.540,202870.949
990624.053562407,202883.00967295,226,E-216,1,"377","51","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,770,051",990624.054,202883.010
990605.152363318,202893.457645975,227,E-216,1,"377","52","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,770,052",990605.152,202893.458
990585.333224226,202904.413386088,228,E-216,1,"377","53","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,770,053",990585.333,202904.413
990565.779018536,202915.222699698,229,E-216,1,"377","54","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,770,054",990565.779,202915.223
990351.014469647,203033.940992952,230,E-216,1,"377","64","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Hazardous Materials* Phase I and Phase II Testing Protocol","1,003,770,064",990351.014,203033.941
990329.997460454,203045.558362553,231,E-216,1,"377","65","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,770,065",990329.997,203045.558
990308.604478331,203057.384094023,232,E-216,1,"377","66","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,770,066",990308.604,203057.384
990762.850232693,203095.548924588,248,E-216,1,"378","43","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,003,780,043",990762.850,203095.549
990886.217096,203096.458324192,247,E-216,1,"378","34","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,780,034",990886.217,203096.458
990221.237675347,203117.797673355,217,E-216,1,"377","1","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,770,001",990221.238,203117.798
990909.393165894,203138.338318702,246,E-216,1,"378","32","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,780,032",990909.393,203138.338
989647.577363229,203144.626220331,264,E-216,1,"389","52","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water,"1,003,890,052",989647.577,203144.626
990851.371170173,203158.141579763,235,E-216,1,"378","30","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,003,780,030",990851.371,203158.142
990316.06469712,203167.577199513,225,E-216,1,"377","10","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,003,770,010",990316.065,203167.577
990829.530099155,203170.467580712,234,E-216,1,"378","29","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,003,780,029",990829.530,203170.468
990807.712711619,203182.57214338,233,E-216,1,"378","28","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,003,780,028",990807.713,203182.572
990106.241796305,203215.675477765,266,E-216,1,"390","34","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,900,034",990106.242,203215.675
990857.586272293,203325.34262055,249,E-216,1,"379","44","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,790,044",990857.586,203325.343
989811.844787361,203332.476866895,267,E-216,1,"390","52","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - HVAC fuel limited to natural gas;Exhaust stack location limitations","1,003,900,052",989811.845,203332.477
989977.819352539,203354.286828667,265,E-216,1,"390","23","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,900,023",989977.819,203354.287
989709.511941476,203373.308043993,268,E-216,1,"390","58","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations","1,003,900,058",989709.512,203373.308
990237.063714365,203459.573089548,278,E-216,1,"391","33","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,910,033",990237.064,203459.573
990072.704599223,202881.532861925,339,E-216,1,"376","1","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,760,001",990072.705,202881.533
990270.570360536,202904.738563819,340,E-216,1,"376","13","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,760,013",990270.570,202904.739
990429.133015535,202816.852400186,341,E-216,1,"376","22","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - HVAC fuel limited to natural gas;Hazardous Materials* Phase I and Phase II Testing Protocol","1,003,760,022",990429.133,202816.852
990643.492400791,202872.26442809,350,E-216,1,"377","50","07DCP078M","C080397AZMM; N080398AZRM",,Air Quality - HVAC fuel limited to natural gas,"1,003,770,050",990643.492,202872.264
990776.160926685,203477.524132076,358,E-216,1,"379","21","07DCP078M","C080397AZMM; N080398AZRM",,"Air Quality - #2 Fuel Oil or Natural Gas Heat and Hot Water;Exhaust stack location limitations;Window Wall Attenuation & Alternate Ventilation","1,003,790,021",990776.161,203477.524
989119.852598139,202681.904150588,381,E-216,1,"386","7","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,860,007",989119.853,202681.904
989128.234819339,202697.008587336,382,E-216,1,"386","8","07DCP078M","C080397AZMM; N080398AZRM",,Window Wall Attenuation & Alternate Ventilation,"1,003,860,008",989128.235,202697.009
